date,title,artist,rank,peakPos,lastPos,isNew,weeks
2022-02-05,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,2,False,5
2022-02-05,Easy On Me,Adele,2,1,1,False,16
2022-02-05,Heat Waves,Glass Animals,3,3,3,False,54
2022-02-05,Stay,The Kid LAROI & Justin Bieber,4,1,4,False,29
2022-02-05,Super Gremlin,Kodak Black,5,5,5,False,12
2022-02-05,Shivers,Ed Sheeran,6,4,6,False,20
2022-02-05,Pushin P,Gunna & Future Featuring Young Thug,7,7,7,False,3
2022-02-05,abcdefu,GAYLE,8,8,8,False,10
2022-02-05,Surface Pressure,Jessica Darrow,9,9,10,False,5
2022-02-05,Cold Heart (PNAU Remix),Elton John & Dua Lipa,10,7,9,False,21
2022-02-05,Need To Know,Doja Cat,11,8,11,False,33
2022-02-05,Bad Habits,Ed Sheeran,12,2,12,False,31
2022-02-05,Ghost,Justin Bieber,13,13,14,False,18
2022-02-05,Industry Baby,Lil Nas X & Jack Harlow,14,1,13,False,27
2022-02-05,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),15,5,15,False,12
2022-02-05,Hrs And Hrs,Muni Long,16,16,17,False,5
2022-02-05,Levitating,Dua Lipa,17,2,16,False,64
2022-02-05,Thats What I Want,Lil Nas X,18,10,19,False,19
2022-02-05,Save Your Tears,The Weeknd & Ariana Grande,19,1,20,False,56
2022-02-05,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",20,20,43,False,4
2022-02-05,Oh My God,Adele,21,5,18,False,10
2022-02-05,Buy Dirt,Jordan Davis Featuring Luke Bryan,22,22,25,False,25
2022-02-05,One Right Now,Post Malone & The Weeknd,23,6,22,False,12
2022-02-05,Better Days,NEIKED X Mae Muller X Polo G,24,23,26,False,15
2022-02-05,Good 4 U,Olivia Rodrigo,25,1,21,False,37
2022-02-05,Love Nwantiti (Ah Ah Ah),CKay,26,26,27,False,19
2022-02-05,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,27,27,31,False,4
2022-02-05,You Should Probably Leave,Chris Stapleton,28,28,33,False,30
2022-02-05,Fancy Like,Walker Hayes,29,3,32,False,32
2022-02-05,Fingers Crossed,Lauren Spencer-Smith,30,19,30,False,4
2022-02-05,I Hate U,SZA,31,7,28,False,8
2022-02-05,Knife Talk,Drake Featuring 21 Savage & Project Pat,32,4,36,False,21
2022-02-05,You Right,Doja Cat & The Weeknd,33,11,35,False,30
2022-02-05,Essence,Wizkid Featuring Justin Bieber & Tems,34,9,34,False,29
2022-02-05,Kiss Me More,Doja Cat Featuring SZA,35,3,29,False,41
2022-02-05,Dos Oruguitas,Sebastian Yatra,36,36,44,False,4
2022-02-05,Sacrifice,The Weeknd,37,11,23,False,3
2022-02-05,Cold December,Rod Wave,38,38,58,False,2
2022-02-05,Big Energy,Latto,39,38,38,False,14
2022-02-05,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,40,21,39,False,20
2022-02-05,If I Didn't Love You,Jason Aldean & Carrie Underwood,41,15,41,False,24
2022-02-05,Light Switch,Charlie Puth,42,42,0,True,1
2022-02-05,Sand In My Boots,Morgan Wallen,43,32,42,False,28
2022-02-05,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,44,30,46,False,24
2022-02-05,Enemy,Imagine Dragons X JID,45,45,48,False,10
2022-02-05,Woman,Doja Cat,46,46,52,False,26
2022-02-05,Happier Than Ever,Billie Eilish,47,11,37,False,26
2022-02-05,Waiting On A Miracle,Stephanie Beatriz,48,48,65,False,4
2022-02-05,One Mississippi,Kane Brown,49,40,40,False,18
2022-02-05,'Til You Can't,Cody Johnson,50,50,55,False,16
2022-02-05,To Be Loved By You,Parker McCollum,51,51,53,False,9
2022-02-05,P Power,Gunna Featuring Drake,52,24,24,False,2
2022-02-05,Freedom Was A Highway,Jimmie Allen & Brad Paisley,53,45,54,False,16
2022-02-05,Broadway Girls,Lil Durk Featuring Morgan Wallen,54,14,47,False,6
2022-02-05,AA,Walker Hayes,55,55,98,False,3
2022-02-05,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,56,53,56,False,11
2022-02-05,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,57,45,73,False,11
2022-02-05,No Switch,YoungBoy Never Broke Again,58,58,0,True,1
2022-02-05,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",59,17,59,False,16
2022-02-05,Bring It On,YoungBoy Never Broke Again,60,60,0,True,1
2022-02-05,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,61,51,60,False,18
2022-02-05,Whiskey And Rain,Michael Ray,62,37,51,False,17
2022-02-05,Heart On Fire,Eric Church,63,59,64,False,10
2022-02-05,Bring The Hook,YoungBoy Never Broke Again,64,61,61,False,2
2022-02-05,Too Easy,Gunna & Future,65,16,45,False,13
2022-02-05,For Tonight,Giveon,66,61,69,False,17
2022-02-05,Beers On Me,"Dierks Bentley, Breland & HARDY",67,67,68,False,5
2022-02-05,Fish Scale,YoungBoy Never Broke Again,68,68,82,False,2
2022-02-05,By Your Side,Rod Wave,69,58,63,False,9
2022-02-05,Eazy,The Game & Kanye West,70,49,49,False,2
2022-02-05,Scorpio,Moneybagg Yo,71,66,70,False,10
2022-02-05,Flossin',Internet Money Featuring YoungBoy Never Broke Again,72,72,0,True,1
2022-02-05,Proud,Key Glock,73,73,0,True,1
2022-02-05,Know Like I Know,YoungBoy Never Broke Again,74,74,0,True,1
2022-02-05,Do It To It,Acraze Featuring Cherish,75,65,76,False,6
2022-02-05,Doin' This,Luke Combs,76,53,83,False,7
2022-02-05,All Too Well (Taylor's Version),Taylor Swift,77,1,74,False,11
2022-02-05,Pressure,Ari Lennox,78,78,84,False,5
2022-02-05,23,Sam Hunt,79,75,85,False,5
2022-02-05,Never Say Never,Cole Swindell / Lainey Wilson,80,79,79,False,2
2022-02-05,I Love You So,The Walters,81,81,0,False,2
2022-02-05,All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",82,82,94,False,2
2022-02-05,Have Mercy,Chloe,83,28,77,False,20
2022-02-05,Circles Around This Town,Maren Morris,84,63,81,False,3
2022-02-05,Take My Breath,The Weeknd,85,6,66,False,19
2022-02-05,2Hoo,YoungBoy Never Broke Again,86,86,0,True,1
2022-02-05,Long Live,YoungBoy Never Broke Again,87,87,0,True,1
2022-02-05,Thought I Was Playing,Gunna & 21 Savage,88,23,62,False,3
2022-02-05,Dis & That,YoungBoy Never Broke Again,89,89,0,True,1
2022-02-05,Me Or Sum,"Nardo Wick, Lil Baby & Future",90,86,0,False,3
2022-02-05,Beautiful Lies,Yung Bleu & Kehlani,91,91,0,True,1
2022-02-05,25k Jacket,Gunna Featuring Lil Baby,92,28,67,False,3
2022-02-05,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",93,56,100,False,20
2022-02-05,Home Sweet,Russell Dickerson,94,90,0,False,2
2022-02-05,No Love,Summer Walker & SZA,95,13,97,False,11
2022-02-05,Come Back As A Country Boy,Blake Shelton,96,91,0,False,2
2022-02-05,Smoke One,YoungBoy Never Broke Again,97,97,0,True,1
2022-02-05,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,98,93,93,False,3
2022-02-05,I Am Woman,Emmy Meli,99,74,0,False,4
2022-02-05,Iffy,Chris Brown,100,71,71,False,2
2022-01-29,Easy On Me,Adele,1,1,1,False,15
2022-01-29,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",2,2,4,False,4
2022-01-29,Heat Waves,Glass Animals,3,3,3,False,53
2022-01-29,Stay,The Kid LAROI & Justin Bieber,4,1,2,False,28
2022-01-29,Super Gremlin,Kodak Black,5,5,6,False,11
2022-01-29,Shivers,Ed Sheeran,6,4,5,False,19
2022-01-29,Pushin P,Gunna & Future Featuring Young Thug,7,7,7,False,2
2022-01-29,abcdefu,GAYLE,8,8,9,False,9
2022-01-29,Cold Heart (PNAU Remix),Elton John & Dua Lipa,9,7,10,False,20
2022-01-29,Surface Pressure,Jessica Darrow,10,10,14,False,4
2022-01-29,Need To Know,Doja Cat,11,8,8,False,32
2022-01-29,Bad Habits,Ed Sheeran,12,2,13,False,30
2022-01-29,Industry Baby,Lil Nas X & Jack Harlow,13,1,12,False,26
2022-01-29,Ghost,Justin Bieber,14,14,17,False,17
2022-01-29,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),15,5,15,False,11
2022-01-29,Levitating,Dua Lipa,16,2,18,False,63
2022-01-29,Hrs And Hrs,Muni Long,17,17,25,False,4
2022-01-29,Oh My God,Adele,18,5,26,False,9
2022-01-29,Thats What I Want,Lil Nas X,19,10,24,False,18
2022-01-29,Save Your Tears,The Weeknd & Ariana Grande,20,1,21,False,55
2022-01-29,Good 4 U,Olivia Rodrigo,21,1,20,False,36
2022-01-29,One Right Now,Post Malone & The Weeknd,22,6,30,False,11
2022-01-29,Sacrifice,The Weeknd,23,11,11,False,2
2022-01-29,P Power,Gunna Featuring Drake,24,24,0,True,1
2022-01-29,Buy Dirt,Jordan Davis Featuring Luke Bryan,25,25,38,False,24
2022-01-29,Better Days,NEIKED X Mae Muller X Polo G,26,23,33,False,14
2022-01-29,Love Nwantiti (Ah Ah Ah),CKay,27,27,41,False,18
2022-01-29,I Hate U,SZA,28,7,34,False,7
2022-01-29,Kiss Me More,Doja Cat Featuring SZA,29,3,35,False,40
2022-01-29,Fingers Crossed,Lauren Spencer-Smith,30,19,19,False,3
2022-01-29,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,31,31,77,False,3
2022-01-29,Fancy Like,Walker Hayes,32,3,27,False,31
2022-01-29,You Should Probably Leave,Chris Stapleton,33,32,43,False,29
2022-01-29,Essence,Wizkid Featuring Justin Bieber & Tems,34,9,36,False,28
2022-01-29,You Right,Doja Cat & The Weeknd,35,11,40,False,29
2022-01-29,Knife Talk,Drake Featuring 21 Savage & Project Pat,36,4,44,False,20
2022-01-29,Happier Than Ever,Billie Eilish,37,11,37,False,25
2022-01-29,Big Energy,Latto,38,38,54,False,13
2022-01-29,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,39,21,49,False,19
2022-01-29,One Mississippi,Kane Brown,40,40,55,False,17
2022-01-29,If I Didn't Love You,Jason Aldean & Carrie Underwood,41,15,50,False,23
2022-01-29,Sand In My Boots,Morgan Wallen,42,32,57,False,27
2022-01-29,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",43,43,66,False,3
2022-01-29,Dos Oruguitas,Sebastian Yatra,44,44,71,False,3
2022-01-29,Too Easy,Gunna & Future,45,16,16,False,12
2022-01-29,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,46,30,48,False,23
2022-01-29,Broadway Girls,Lil Durk Featuring Morgan Wallen,47,14,51,False,5
2022-01-29,Enemy,Imagine Dragons X JID,48,48,67,False,9
2022-01-29,Eazy,The Game & Kanye West,49,49,0,True,1
